DEGE_ID;DEGE_NOMBRE;PAGE_ID;DEGE_REGISTRADOPOR;DEGE_FECHACAMBIO
0;Ninguno;0;edilverbm;2014-07-17
1;SANTA FÉ;AR;edilverbm;2014-07-17
5;Antioquia;CO;edilverbm;2014-07-17
8;Atlántico;CO;edilverbm;2014-07-17
9;SIN DEPARTAMENTO;CO;edilverbm;2014-07-17
11;Bogotá, Distrito Capital;CO;edilverbm;2014-07-17
13;Bolívar;CO;edilverbm;2014-07-17
15;Boyacá;CO;edilverbm;2014-07-17
17;Caldas;CO;edilverbm;2014-07-17
18;Caquetá;CO;edilverbm;2014-07-17
19;Cauca;CO;edilverbm;2014-07-17
20;Cesar;CO;edilverbm;2014-07-17
23;Córdoba;CO;edilverbm;2014-07-17
25;Cundinamarca;CO;edilverbm;2014-07-17
27;Choco;CO;edilverbm;2014-07-17
41;Huila;CO;edilverbm;2014-07-17
44;La Guajira;CO;edilverbm;2014-07-17
47;Magdalena;CO;edilverbm;2014-07-17
50;Meta;CO;edilverbm;2014-07-17
52;Nariño;CO;edilverbm;2014-07-17
54;Norte de Santander;CO;edilverbm;2014-07-17
63;Quindio;CO;edilverbm;2014-07-17
66;Risaralda;CO;edilverbm;2014-07-17
68;Santander;CO;edilverbm;2014-07-17
70;Sucre;CO;edilverbm;2014-07-17
73;Tolima;CO;edilverbm;2014-07-17
76;Valle del Cauca;CO;edilverbm;2014-07-17
81;Arauca;CO;edilverbm;2014-07-17
85;Casanare;CO;edilverbm;2014-07-17
86;Putumayo;CO;edilverbm;2014-07-17
88;Archipielago de San Andrés;CO;edilverbm;2014-07-17
91;Amazonas;CO;edilverbm;2014-07-17
94;Guainía;CO;edilverbm;2014-07-17
95;Guaviare;CO;edilverbm;2014-07-17
97;Vaupés;CO;edilverbm;2014-07-17
99;Vichada;CO;edilverbm;2014-07-17
